Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit,Unit sale price
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United States,5819.7,6586.16,1733.2,619.0,2.8,10.64,4086.5,5.105
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United Kingdom,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United States,10904.28,11363.52,2990.4,1068.0,2.8,10.64,7913.88,10.21
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United Kingdom,27987.84,28855.68,7593.6,2712.0,2.8,10.64,20394.24,10.32
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United States,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United Kingdom,8750.77,8926.96,2349.2,839.0,2.8,10.64,6401.57,10.43
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Canada,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Mexico,13497.62,14598.08,3841.6,1372.0,2.8,10.64,9656.02,6.80666667
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Brazil,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Japan,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Korea,8433.46,8788.64,2312.8,826.0,2.8,10.64,6120.66,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,China,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Singapore,7422.67,7735.28,2035.6,727.0,2.8,10.64,5387.07,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Australia,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Netherlands,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Sweden,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Finland,21185.75,22897.28,6025.6,2152.0,2.8,10.64,15160.15,7.6575
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Denmark,6013.69,6266.96,1649.2,589.0,2.8,10.64,4364.49,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,France,20542.05,22354.64,5882.8,2101.0,2.8,10.64,14659.25,6.86166667
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Germany,3962.88,4085.76,1075.2,384.0,2.8,10.64,2887.68,10.32
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Belgium,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Switzerland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Austria,0,127.68,33.6,12.0,2.8,10.64,-33.6,0.0
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Italy,0,851.2,224.0,80.0,2.8,10.64,-224.0,0.0
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Spain,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Canada,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Mexico,30444,33143.6,8722.0,3115.0,2.8,10.64,21722.0,5.89714286
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Brazil,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Japan,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Korea,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,China,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Singapore,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Australia,21183.33,22195.04,5840.8,2086.0,2.8,10.64,15342.53,8.69166667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Netherlands,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Sweden,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Finland,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Denmark,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,France,16307.46,16758.0,4410.0,1575.0,2.8,10.64,11897.46,10.35666667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Germany,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Belgium,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Switzerland,12745.46,13566.0,3570.0,1275.0,2.8,10.64,9175.46,7.8225
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Austria,0,638.4,168.0,60.0,2.8,10.64,-168.0,0.0
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Italy,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Spain,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Canada,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Mexico,23901.12,25184.88,6627.6,2367.0,2.8,10.64,17273.52,6.88
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Brazil,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Japan,16448.11,16779.28,4415.6,1577.0,2.8,10.64,12032.51,10.43
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Korea,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,China,27162.24,28621.6,7532.0,2690.0,2.8,10.64,19630.24,6.88
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Singapore,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Australia,24114.16,25589.2,6734.0,2405.0,2.8,10.64,17380.16,7.8225
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Netherlands,10970.16,11310.32,2976.4,1063.0,2.8,10.64,7993.76,10.32
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Sweden,13058.36,13321.28,3505.6,1252.0,2.8,10.64,9552.76,10.43
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Finland,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Denmark,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,France,0,723.52,190.4,68.0,2.8,10.64,-190.4,0.0
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Germany,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Belgium,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Switzerland,28451.78,30600.64,8052.8,2876.0,2.8,10.64,20398.98,5.81666667
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Austria,0,425.6,112.0,40.0,2.8,10.64,-112.0,0.0
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Italy,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Spain,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United States,159492.97,171697.68,45183.6,16137.0,2.8,10.64,114309.37,7.8916129
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United Kingdom,66286.26,72362.64,19042.8,6801.0,2.8,10.64,47243.46,6.95
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United States,159040.72,167824.72,44164.4,15773.0,2.8,10.64,114876.32,9.286818180000001
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United Kingdom,59937.97,62318.48,16399.6,5857.0,2.8,10.64,43538.37,10.24090909
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,United States,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,United Kingdom,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,United States,0,659.68,173.6,62.0,2.8,10.64,-173.6,0.0
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,United Kingdom,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,United States,22472.21,23418.64,6162.8,2201.0,2.8,10.64,16309.41,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,United Kingdom,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,United States,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,United Kingdom,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United States,84964.3,90354.88,23777.6,8492.0,2.8,10.64,61186.7,7.721875
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United Kingdom,13488.34,14683.2,3864.0,1380.0,2.8,10.64,9624.34,5.17833333
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United States,266988.9,280661.92,73858.4,26378.0,2.8,10.64,193130.5,8.56658537
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United Kingdom,101760.06,107017.12,28162.4,10058.0,2.8,10.64,73597.66,8.772
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,United States,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,United Kingdom,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,United States,9907.2,10214.4,2688.0,960.0,2.8,10.64,7219.2,10.32
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,United Kingdom,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,United States,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,United Kingdom,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,United States,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,United Kingdom,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United States,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United Kingdom,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United States,444797.67,468649.44,123328.8,44046.0,2.8,10.64,321468.87,7.60349206
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United Kingdom,144943.2,152428.64,40112.8,14326.0,2.8,10.64,104830.4,7.75741935
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,United States,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,United Kingdom,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,United States,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,United Kingdom,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,United States,,,,,,,,
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,United Kingdom,,,,,,,,
